member_id;age;gender;industry;country;is_team_account;n_colleagues_on_account;plan_tier;plan_days_per_week;membership_start;membership_end;last_badge_swipe;days_since_last_visit;total_visits;avg_weekly_visits;entitled_visits_last_period;actual_visits_last_period;meeting_room_hours;event_space_hours;guest_passes_issued;uses_meeting_rooms;uses_event_space;uses_guest_passes;uses_print;uses_mail_handling;uses_phone_booths;uses_day_passes;uses_storage;uses_bike_locker;n_renewals;lifetime_value
CW000030;;Male;Consulting;United Kingdom;False;0;flex;3;2022-10-17;2022-12-30;2022-10-17;75;12;1.11;26.09;10;0.0;0.0;0.0;False;False;False;0;True;False;True;False;False;0;551.5
CW000031;29.0;Female;Design & Creative;Portugal;False;0;flex;3;2021-03-31;2023-12-10;2023-12-06;4;307;2.18;26.09;18;19.3;0.0;0.0;True;False;False;1;True;True;True;False;False;2;8089.55
CW000032;31.0;Male;Consulting;United Kingdom;False;0;dedicated_desk;5;2021-11-06;1970-01-01;2023-07-27;158;16;0.14;43.48;1;0.0;0.0;0.0;False;False;False;0;True;False;False;False;False;-1;9418.95
CW000033;41.0;Other;Consulting;Portugal;False;0;hot_desk;2;2022-12-23;2023-02-18;2022-12-23;57;7;0.87;16.4;9;0.2;0.0;0.0;True;False;False;0;False;False;True;False;False;0;285.35
CW000034;29.0;Male;Other;Portugal;False;0;dedicated_desk;5;2021-03-08;2023-01-19;2023-01-16;3;398;4.09;43.48;37;78.5;0.0;0.0;True;False;False;1;True;True;False;False;False;4;9519.19
CW000035;38.0;;Design & Creative;Portugal;False;-1;hot_desk;2;2021-11-10;2022-05-28;2022-05-24;4;53;1.87;17.39;17;;0.0;0.0;False;False;False;0;False;False;False;False;False;0;781.78
CW000036;42.0;Female;Information Technology;Portugal;True;2;hot_desk;2;2021-11-04;2022-01-17;2021-11-04;74;3;0.24;17.39;2;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;291.89
CW000037;34.0;Female;Consulting;United Kingdom;False;0;private_office;7;2022-01-03;1970-01-01;2023-12-16;16;71;0.68;60.87;5;0.0;0.0;0.0;False;False;False;0;True;True;False;True;False;2;16722.83
CW000038;36.0;Male;Health;Portugal;False;0;private_office;7;2021-08-28;2023-09-19;2023-09-17;2;595;5.54;60.87;42;128.3;0.0;57.0;True;False;True;0;False;True;False;False;False;1;18697.71
CW000039;43.0;Female;Design & Creative;Portugal;True;4;flex;3;2022-07-31;2022-09-28;2022-08-08;51;12;1.38;25.45;13;0.0;0.0;1.0;False;False;True;0;False;False;False;False;False;0;366.22
CW000040;50.0;Male;Education;Portugal;True;1;full_time;5;2022-04-04;2023-05-17;2023-05-12;5;181;3.11;43.48;30;0.0;0.0;0.0;False;False;False;0;False;True;False;False;False;0;3891.37
CW000041;24.0;Female;Finance;Portugal;False;0;dedicated_desk;5;2021-02-12;2023-11-30;2023-11-27;3;683;4.68;43.48;43;0.0;0.0;0.0;False;False;False;1;True;True;False;False;False;2;12848.64
CW000042;34.0;Female;Other;Portugal;False;0;full_time;5;02/10/2021;05/12/2021;29/10/2021;37;15;1.62;43.48;14;0.4;0.0;0.0;True;False;False;0;False;False;False;False;False;0;598.7
CW000043;31.0;Male;Information Technology;Other (Europe);False;0;hot_desk;2;2021-04-04;2021-06-07;2021-04-04;64;9;0.98;17.39;7;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;253.3
CW000044;19.0;Male;Information Technology;Portucal;True;1;hot_desk;2;2023-04-15;2023-06-07;2023-04-19;999;7;0.95;15.24;8;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;0
CW000045;29.0;Female;Consulting;Portugal;False;0;hot_desk;2;2021-02-21;2022-05-12;2022-05-11;1;124;1.95;17.39;17;0.0;0.0;0.0;False;False;False;0;True;True;False;False;False;1;2117.18
CW000046;41.0;Male;Consulting;;True;1;dedicated_desk;5;2021-04-23;2023-08-20;2023-08-19;1;549;4.53;43.48;33;267.4;0.0;;True;False;True;1;True;True;False;False;False;3;15509.01
CW000047;47.0;Other;Marketing & PR;;False;0;hot_desk;2;2022-04-22;2022-06-28;2022-06-05;23;10;1.0;17.39;8;0.0;0.0;0.0;False;False;False;0;True;False;False;False;False;0;296.54
CW000048;30.0;Female;Marketing & PR;Portugal;False;0;flex;3;2022-04-26;2023-02-17;2023-02-15;2;90;2.12;26.09;19;0.0;0.0;0.0;False;False;False;1;False;True;True;False;False;1;2220.92
CW000049;54.0; Female;EDUCATION;Portugal;False;0;flex;3;2021-06-15;1970-01-01;2023-08-11;143;27;0.2;26.09;2;;0.0;0.0;False;False;False;0;True;False;False;False;False;3;5955.97
CW000050;42.0;Male;Marketing & PR;Portugal;False;0;dedicated_desk;5;2021-01-05;2023-09-12;2023-09-11;1;535;3.82;43.48;31;0.0;0.0;17.0;False;False;True;0;False;True;False;True;False;2;0
CW000051;25.0;Male;Marketing & PR;Portugal;True;2;;7;2021-05-08;2023-12-02;2023-11-20;12;705;5.26;60.87;41;0.0;0.0;14.0;False;False;True;1;False;False;False;False;False;4;
CW000052;28.0;Male;Other;Portugal;False;0;hot_desk;2;2023-11-09;1970-01-01;2023-12-24;8;14;1.87;14.95;12;;0.0;;False;False;False;0;False;True;False;False;False;1;
CW000053;24.0;Male;Information Technology;Portugal;False;0;full_time;5;2022-04-12;2022-05-13;2022-04-12;31;7;1.48;22.16;7;0.0;0.0;0.0;False;False;False;1;False;False;False;False;False;0;293.56
CW000054;39.0;Male;Consulting;France;False;0;flex;3;2023-11-08;1970-01-01;2023-12-29;3;20;2.61;23.06;22;0.0;0.0;2.0;False;False;True;0;True;True;False;False;False;1;392.37
CW000055;41.0;Other;Finance;Portugal;False;0;private_office;7;2021-08-18;2023-08-16;2023-08-14;2;43;0.41;60.87;3;0.0;0.0;0.0;False;False;False;0;True;True;False;True;False;0;16750.75
CW000056;42.0;Female;Finance;Portugal;False;0;full_time;5;2023-01-19;2023-04-13;2023-01-19;84;19;1.59;43.48;12;0.0;0.0;0.0;False;False;False;0;False;False;True;False;False;0;859.49
CW000057;31.0;F;Information Technology;Netherlands;False;0;FULL_TIME;5;2021-12-15;1970-01-01;2023-09-16;107;41;0.39;43.48;2;0.0;0.0;0.0;False;False;False;0;True;False;False;True;False;1;7847.04
CW000058;41.0;Male;Consulting;United Kingdom;False;0;full_time;5;2021-01-01;1970-01-01;2023-12-28;999;719;4.6;43.48;43;78.6;17.3;0.0;True;True;False;0;True;True;False;True;False;1;0
CW000059;26.0;M;Other;Portugal;False;0;hotdesk;2;2021-01-15;2022-01-05;2022-01-02;3;93;1.84;17.39;16;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;4;1398.22
CW000060;38.0;Female;Design & Creative;Portugal;False;-1;hot_desk;2;2021-02-27;2022-10-15;2022-10-09;6;-44;1.93;17.39;15;0.0;0.0;0.0;False;False;False;0;False;False;True;False;False;2;-793.08
CW000061;31.0;;Legal;Other (Europe);False;0;flex;3;2021-07-30;2022-06-14;2022-06-06;8;108;2.37;26.09;25;21.0;0.0;5.0;True;False;True;1;False;False;False;False;False;0;2298.05
CW000062;41.0;Male;Legal;Portugal;True;2;hot_desk;2;2021-12-10;2023-06-06;2023-06-02;4;143;1.84;17.39;17;0.0;0.0;0.0;False;False;False;1;False;False;False;False;False;1;2282.36
CW000063;21.0;;Other;Portugal;False;0;hot_desk;2;2023-02-20;2023-11-16;2023-11-08;8;69;1.8;17.39;17;0.0;0.0;0.0;False;False;False;1;False;False;False;False;False;0;0
CW000064;31.0;Male;Design & Creative;Portugal;False;0;Flex;3;2021-03-29;2021-12-22;2021-12-20;2;103;2.71;26.09;23;0.0;0.0;0.0;False;False;False;1;False;False;True;False;False;1;1914.72
CW000065;19.0;Female;Information Technology;Spain;False;0;flex;3;2022-07-01;2023-07-12;2023-07-10;2;129;2.41;26.09;22;3.4;0.0;0.0;True;False;False;0;False;False;False;False;False;1;2260.85
CW000066;53.0;Female;Design & Creative;Portugal;False;0;hot_desk;2;2022-10-28;2023-04-22;2023-04-21;1;47;1.87;17.39;17;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;695.13
CW000067;44.0;Female;DESIGN & CREATIVE;Portugal;False;0;hot_desk;2;2021-12-20;2022-08-29;2022-08-22;7;68;1.9;17.39;17;;0.0;0.0;False;False;False;0;False;False;False;False;False;0;0
CW000068;27.0;;Consulting;;True;1;dedicated_desk;5;2021-09-07;1970-01-01;2023-05-20;226;43;0.36;43.48;3;0.0;0.0;0.0;False;False;False;0;True;False;False;True;False;3;10834.21
CW000069;37.0;Male;Marketing and PR;Portugal;False;0;hot_desk;2;2023-10-14;2023-12-09;2023-10-24;46;6;0.74;15.92;5;2.2;0.0;0.0;True;False;False;0;False;False;False;False;False;0;246.10 €
CW000070;46.0;Female;Unknown;Portugal;False;0;hot_desk;2;2021-02-18;2022-06-03;2022-05-28;6;134;1.99;17.39;17;0.0;0.0;0.0;False;False;False;1;False;False;False;False;False;1;1977.18
CW000071;18.0;Female;Education;Portugal;True;1;flex;3;2022-08-06;2022-10-11;2022-09-02;39;4;0.41;26.09;4;1.9;0.0;0.0;True;False;False;0;False;False;True;False;False;0;479.92
CW000072;27.0;male;Marketing & PR;Portugal;True;2;flex;3;2023-05-05;2023-07-11;2023-05-13;59;5;0.5;26.09;4;0.0;0.0;0.0;False;False;False;0;False;False;False;True;False;0;450.76
CW000073;48.0;Female;Consulting;Portugal;False;0;full_time;5;2021-02-25;2022-07-15;2022-07-10;5;223;3.09;43.48;26;0.0;0.0;1.0;False;False;True;0;True;False;False;False;False;5;4906.18
CW000074;34.0;Female;Information Technology;Portugal;False;-1;hot_desk;2;2023-11-23;1970-01-01;2023-12-30;2;8;1.39;11.11;10;0.0;0.0;0.0;False;False;False;1;False;True;False;False;False;0;176.36
CW000075;45.0; Male;Health;Portugal;False;0;flex;3;2021-09-04;2022-05-10;2022-05-07;3;73;2.07;26.09;19;0.0;0.0;0.0;False;False;False;1;False;True;False;False;False;0;1614.68
CW000076;34.0;Male;Information Technology;Portugal;False;0;flex;3;2021-09-28;2023-06-15;2023-06-12;3;207;2.32;26.09;20;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;3694.64
CW000077;;Male;Design & Creative;;False;0;Hot Desk;2;2021-12-12;2023-08-14;2023-08-08;6;163;1.88;17.39;17;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;2402.77
CW015074;41.0;Female;Information Technology;Portucal;True;3;dedicated_desk;5;2022-02-20;1970-01-01;2023-05-16;230;14;0.15;43.48;1;0.0;0.0;;False;False;False;0;True;False;False;False;False;2;8150.69
CW000078;34.0;Female;Consulting;Portugal;False;0;hot_desk;2;2023-08-15;2023-09-26;2023-08-19;38;5;0.81;12.02;6;0.0;0.0;0.0;False;False;False;0;False;False;True;False;False;0;207.28
CW000079;33.0;Male;Information Technology;Portugal;True;1;flex;3;2021-06-12;2021-10-06;2021-09-28;8;45;2.72;26.09;22;0.0;0.0;0.0;False;False;False;0;False;True;False;False;False;0;726.58
CW000080;43.0;Female;Finance;Spain;True;1;flex;3;2022-08-30;2023-12-02;2023-11-27;999;163;2.48;26.09;22;0.0;0.0;0.0;False;False;False;1;False;True;True;False;False;1;0
CW000081;23.0;Male;Legal;Portugal;True;3;hot_desk;2;2022-05-24;2022-08-23;2022-05-24;91;12;0.93;17.39;8;;0.0;0.0;False;False;False;0;False;False;True;False;False;0;446.70 €
CW000082;28.0;Female;Information Technology;United Kingdom;False;0;flex;3;2021-06-21;2021-08-06;2021-06-21;46;9;1.38;19.89;11;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;274.41
CW000083;29.0;Female;Consulting;United Kingdom;False;0;dedicated_desk;5;2021-02-09;2023-10-20;2023-10-19;1;656;4.67;43.48;43;59.0;0.0;28.0;True;False;True;1;True;True;False;True;False;0;0
CW000084;63.0;Male;Consulting;Portugal;False;0;hot_desk;2;2022-05-06;2022-06-20;2022-05-06;46;4;0.6;13.03;5;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;179.8
CW000085;40.0;Male;Education;;False;0;flex;3;2023-03-14;2023-05-07;2023-03-14;999;13;1.64;23.22;13;0.0;0.0;0.0;False;False;False;0;False;True;False;False;False;0;0
CW000086;43.0;Male;Marketing & PR;Portugal;False;0;hot_desk;2;2022-02-18;2022-03-26;2022-02-18;36;2;0.34;10.38;1;0.0;0.0;0.0;False;False;False;1;False;False;False;False;False;0;152.84
CW000087;28.0;;Marketing & PR;UK;False;0;full_time;5;2022-06-12;2023-09-06;2023-07-22;46;81;1.26;43.48;11;88.8;38.0;189.0;True;True;True;0;False;False;False;False;False;1;9762.75
CW000088;21.0;Male;Design & Creative;Portugal;False;0;HOT_DESK;2;2021-10-21;2021-12-10;2021-10-21;50;3;0.38;14.3;3;;0.0;0.0;False;False;False;0;False;False;False;False;False;0;197.34
CW000089;28.0;Female;Consulting;Portugal;False;0;flex;3;2023-12-17;1970-01-01;2023-12-17;15;5;2.28;6.29;4;0.0;0.0;0.0;False;False;False;0;True;False;True;False;False;0;108.48
CW000090;23.0;Male;Information Technology;United Kingdom;True;1;private_office;7;2021-01-01;2024-01-01;2023-12-17;15;133;0.85;60.87;8;7.4;0.0;0.0;True;False;False;0;True;True;False;False;False;2;24372.17
CW000091;28.0;Female;Consulting;;True;2;flex;3;2021-02-16;1970-01-01;2023-06-30;185;27;0.18;26.09;1;0.0;0.0;0.0;False;False;False;0;True;False;False;False;False;1;6714.74
CW000092;53.0;Male;Information Technology;Portugal;False;0;hot_desk;2;2021-06-09;2021-09-08;2021-08-02;999;4;0.32;17.39;3;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;0
CW000093;35.0;Male;Information Technology;Spain;True;1;private_office;7;2021-08-01;2023-11-19;2023-11-18;1;592;4.93;60.87;45;112.9;16.2;0.0;True;True;False;1;True;False;True;True;False;1;22179.66
CW000094;35.0; Male;Information Technology;Portugal;False;0;full_time;5;2021-11-24;1970-01-01;2023-07-23;162;20;0.18;43.48;2;0.0;0.0;0.0;False;False;False;1;False;True;False;False;False;3;7513.88
CW000095;33.0;other;Consulting;Portugal;False;0;flex;3;2021-12-01;2022-03-02;2022-02-27;3;38;2.89;26.09;26;0.0;0.0;0.0;False;False;False;0;False;True;False;False;False;1;570
CW000096;29.0;Female;Legal;United Kingdom;False;0;dedicated_desk;5;2023-10-11;1970-01-01;2023-12-29;3;46;3.92;43.48;30;12.2;4.5;0.0;True;True;False;0;False;False;False;True;False;3;1357.83
CW000097;38.0;F;Consulting;;True;1;hot_desk;2;2023-02-02;2023-05-04;2023-05-02;2;24;1.86;17.39;13;0.0;0.0;0.0;False;False;False;0;True;False;False;False;False;0;405
CW015141;41.0;Female;Finance;France;False;-1;private_office;7;2021-02-11;2023-11-11;2023-11-08;3;729;5.08;60.87;28;0.0;0.0;34.0;False;False;True;0;True;True;False;False;False;6;22765.95
CW000098;23.0;Female;Health;Portugal;False;-1;flex;3;2022-01-25;2022-04-02;2022-01-25;67;6;0.66;26.09;6;0.0;3.6;;False;True;False;0;False;False;False;False;False;0;558.63
CW000099;42.0;Female;Consulting;Netherlands;True;4;full_time;5;2022-02-26;1970-01-01;2023-06-24;191;25;0.26;43.48;2;0.0;0.0;0.0;False;False;False;0;True;False;False;False;False;4;0
CW000100;39.0;Female;Real Estate;United Kingdom;False;0;hot_desk;2;2022-11-23;2023-01-18;2022-11-28;51;8;1.03;15.87;8;0.9;0.0;1.0;True;False;True;0;False;False;False;False;False;0;244.77
CW000101;39.0;Male;Finance;Portugal;False;0;hot_desk;2;2022-01-28;2022-03-30;2022-03-12;18;7;0.77;17.34;7;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;239.32
CW000102;32.0;Male;other;Portugal;False;0;flex;3;2023-08-03;2023-09-27;2023-08-03;55;8;0.97;23.63;7;0.0;0.0;0.0;False;False;False;0;False;True;False;False;False;0;344.23
CW000103;23.0;Female;Marketing & PR;United Kingdom;False;-1;flex;3;2021-01-10;2022-06-30;2022-05-09;52;68;0.88;26.09;8;307.5;0.0;30.0;True;False;True;0;False;False;True;True;False;0;8279.48
CW000104;33.0;Male;Design & Creative;Portugal;False;0;hot_desk;2;2023-04-29;2023-07-08;2023-05-21;999;7;0.73;17.39;7;0.0;0.0;0.0;False;False;False;0;False;False;True;False;False;0;0
CW000105;30.0;Female;Information Technology;France;True;3;dedicated_desk;5;2021-02-25;1970-01-01;2023-12-30;2;583;3.92;43.48;27;0.0;0.0;;False;False;False;1;True;True;False;False;False;1;13081.06
CW000106;29.0;Female;Health;Portugal;False;0;hot_desk;2;2021-04-05;2021-06-18;2021-04-14;65;8;0.72;17.39;6;0.0;0.0;0.0;False;False;False;1;False;False;False;False;False;0;311.71
CW000107;20.0;Male;Marketing & PR;Germany;False;0;private_office;7;2021-01-19;2023-01-29;2023-01-22;7;539;5.1;60.87;40;88.9;0.0;35.0;True;False;True;1;False;False;False;True;False;2;18213.82
CW000108;44.0;Female;Marketing & PR;Portugal;False;0;hot_desk;2;2023-10-15;1970-01-01;2023-12-28;4;20;1.82;17.39;16;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;2;306.86
CW000109;32.0;Female;Design & Creative;Portugal;True;2;hot_desk;2;2021-01-19;2021-09-28;2021-09-27;1;68;1.88;17.39;17;;0.0;0.0;True;False;False;1;False;False;True;False;False;1;1336
CW015266;33.0;Female;Information Technology;United Kingdom;False;0;hot_desk;2;2023-10-19;1970-01-01;2023-12-29;3;19;1.81;17.39;14;0.0;0.0;0.0;False;False;False;0;False;False;True;False;False;0;360.09
CW000110;37.0;Female;Information Technology;Portugal;True;2;hot_desk;2;2021-11-28;2023-01-22;2023-01-21;1;112;1.87;17.39;17;0.0;0.0;0.0;False;False;False;1;False;False;False;False;False;1;1766.94
CW000111;22.0;Male;Information Technology;;True;5;dedicated_desk;5;2023-10-31;1970-01-01;2023-12-31;1;33;3.78;43.48;26;10.3;0.0;;True;False;False;1;True;True;False;True;False;3;952.57
CW000112;;Female;Unknown;Portugal;True;4;FLEX;3;2021-09-25;2021-11-08;2021-10-27;12;4;0.68;18.85;5;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;260.13
CW000113;59.0;Female;Information Technology;Portugal;True;1;flex;3;18/01/2022;24/06/2023;20/06/2023;4;147;1.97;26.09;17;32.1;0.0;12.0;True;False;True;1;False;True;False;True;False;2;4388.22
CW000114;42.0;Male;Marketing & PR;Ireland;False;0;Hot Desk;2;2023-12-11;1970-01-01;2023-12-11;20;1;0.35;5.78;1;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;79.7
CW000115;37.0;Male;Finance;Portugal;False;0;dedicated_desk;5;2023-10-08;1970-01-01;2023-12-30;2;45;3.7;43.48;26;1.4;0.0;5.0;True;False;True;0;True;False;False;False;False;2;1105.77
CW000116;28.0;Female;Design & Creative;United Kingdom;False;0;hot_desk;2;2021-11-27;2022-02-04;2021-11-27;68;9;0.91;17.39;7;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;269.53
CW000117;29.0;Male;Legal;Spain;False;0;hot_desk;2;2023-10-08;2023-12-26;2023-11-08;48;3;0.26;17.39;2;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;310.48
CW000118;39.0;Female;Unknown;Portugal;False;0;flex;3;2023-07-03;2023-09-06;2023-08-04;33;14;1.46;26.09;14;;0.0;0.0;False;False;False;0;True;False;False;False;False;0;
CW000119;48.0;Male;Information Technology;Portugal;False;0;flex;3;2021-10-29;2022-02-07;2022-02-02;5;39;2.72;26.09;26;;0.0;2.0;True;False;True;1;False;False;False;False;False;0;662.92
CW000120;32.0;Female;consulting;Portugal;False;0;flex;3;2023-03-10;2023-12-19;2023-12-01;18;94;2.31;26.09;24;0.0;0.0;0.0;False;False;False;0;False;True;False;False;False;4;1778.65
CW000121;;Male;Consulting;Portugal;False;0;flex;3;2022-04-09;1970-01-01;2023-09-05;118;3;0.03;26.09;0;0.0;0.0;3.0;False;False;True;1;True;False;False;False;False;5;
CW000122;35.0;Male;Consulting;Portugal;True;2;flex;3;2021-06-06;2021-07-30;2021-06-28;32;5;0.62;23.39;4;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;322.76
CW000123;34.0;Female;Finance;United kingdom;False;0;private_office;7;2021-04-02;2023-08-02;2023-07-27;6;87;0.71;60.87;6;0.0;0.0;0.0;False;False;False;0;True;True;False;True;False;6;19596.26
CW000124;33.0;Male;Design & Creative;United Kingdom;False;0;flex;3;2022-12-10;2023-01-25;2022-12-18;38;3;0.43;19.88;3;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;274.36
CW000125;43.0; Female;Education;Portugal;False;0;flex;3;2022-07-22;2023-08-24;2023-08-15;9;130;2.3;26.09;18;20.1;0.0;;True;False;True;0;False;True;False;True;False;1;3106.58
